W&B run initialized: https://wandb.ai/qifan_wen-ohio-state-university/snake-surrogate-data/runs/03jdvkk9
[monitor] 205,293/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 290.3h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 206,944/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 290.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 208,581/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 289.7h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 210,221/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 289.4h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 211,870/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 289.2h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 213,508/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 288.9h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 215,140/50,000,000 (0.4%) | FPS cur=54 roll=48 | ETA 288.6h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 216,836/50,000,000 (0.4%) | FPS cur=56 roll=48 | ETA 288.3h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 218,499/50,000,000 (0.4%) | FPS cur=55 roll=48 | ETA 288.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 219,919/50,000,000 (0.4%) | FPS cur=47 roll=48 | ETA 288.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 221,400/50,000,000 (0.4%) | FPS cur=49 roll=48 | ETA 288.0h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 223,170/50,000,000 (0.4%) | FPS cur=58 roll=48 | ETA 287.6h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
[monitor] 224,828/50,000,000 (0.4%) | FPS cur=55 roll=48 | ETA 287.3h | NaN=0 respawns=0 | disk 0.4GB used, 41.0GB free
